Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
1,2008-04-18,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 140 Runs,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,140 Runs,Lost
2,2008-04-19,Punjab Kings v Chennai Super Kings,Mohali,Chennai Super Kings won by 33 Runs,Punjab Kings,Chennai Super Kings,Chennai Super Kings,33 Runs,Lost
3,2008-04-19,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 9 Wickets,Delhi Capitals,Rajasthan Royals,Delhi Capitals,9 Wickets,Won
4,2008-04-20,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,5 Wickets,Won
5,2008-04-20,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 5 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
6,2008-04-21,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets,Rajasthan Royals,Punjab Kings,Rajasthan Royals,6 Wickets,Won
7,2008-04-22,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,9 Wickets,Won
8,2008-04-23,Chennai Super Kings v Mumbai Indians,Chennai,Chennai Super Kings won by 6 Runs,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6 Runs,Lost
9,2008-04-24,Deccan Chargers v Rajasthan Royals,Hyderabad,Rajasthan Royals won by 3 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
10,2008-04-25,Punjab Kings v Mumbai Indians,Mohali,Punjab Kings won by 66 Runs,Punjab Kings,Mumbai Indians,Punjab Kings,66 Runs,Lost
11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 9 Wickets,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,9 Wickets,Won
12,2008-04-26,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Rajasthan Royals won by 7 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
13,2008-04-27,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 4 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,4 Wickets,Won
14,2008-04-27,Mumbai Indians v Deccan Chargers,Mumbai,Deccan Chargers won by 10 Wickets,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,10 Wickets,Won
15,2008-04-28,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 13 Runs,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,13 Runs,Lost
16,2008-04-29,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 7 Wickets,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,7 Wickets,Won
17,2008-04-30,Delhi Capitals v Royal Challengers Bangalore,Delhi,Delhi Capitals won by 10 Runs,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,10 Runs,Lost
18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 45 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,45 Runs,Lost
19,2008-05-01,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 7 Wickets,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,7 Wickets,Won
20,2008-05-02,Chennai Super Kings v Delhi Capitals,Chennai,Delhi Capitals won by 8 Wickets,Chennai Super Kings,Delhi Capitals,Delhi Capitals,8 Wickets,Won
21,2008-05-03,Royal Challengers Bangalore v Deccan Chargers,Bengaluru,Royal Challengers Bangalore won by 3 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,3 Runs,Lost
22,2008-05-03,Punjab Kings v Kolkata Knight Riders,Mohali,Punjab Kings won by 9 Runs,Punjab Kings,Kolkata Knight Riders,Punjab Kings,9 Runs,Lost
23,2008-05-04,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 29 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,29 Runs,Lost
24,2008-05-04,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8 Wickets,Won
25,2008-05-05,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 6 Wickets,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,6 Wickets,Won
26,2008-05-06,Chennai Super Kings v Deccan Chargers,Chennai,Deccan Chargers won by 7 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Wickets,Won
27,2008-05-07,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 7 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,7 Wickets,Won
28,2008-05-08,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 4 Wickets,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
29,2008-05-08,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 5 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5 Runs,Lost
30,2008-05-09,Rajasthan Royals v Deccan Chargers,Jaipur,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,8 Wickets,Won
31,2008-05-10,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 18 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,18 Runs,Lost
32,2008-05-11,Deccan Chargers v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 23 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,23 Runs,Lost
33,2008-05-11,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 3 Wickets,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,3 Wickets,Won
34,2008-05-12,Punjab Kings v Royal Challengers Bangalore,Mohali,Punjab Kings won by 9 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,9 Wickets,Won
35,2008-05-13,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 23 Runs,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,23 Runs,Lost
36,2008-05-14,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 9 Wickets,Mumbai Indians,Chennai Super Kings,Mumbai Indians,9 Wickets,Won
37,2008-05-15,Delhi Capitals v Deccan Chargers,Delhi,Delhi Capitals won by 12 Runs,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,12 Runs,Lost
38,2008-05-16,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 8 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,8 Wickets,Won
39,2008-05-17,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 65 Runs,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,65 Runs,Lost
40,2008-05-17,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 6 Runs [D/L],Delhi Capitals,Punjab Kings,Punjab Kings,6 Runs [D/L],Lost
41,2008-05-18,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 3 Runs [D/L],Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,3 Runs [D/L],Lost
42,2008-05-18,Deccan Chargers v Mumbai Indians,Hyderabad,Mumbai Indians won by 25 Runs,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,25 Runs,Lost
43,2008-05-19,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Delhi Capitals won by 5 Wickets,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,5 Wickets,Won
44,2008-05-20,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Rajasthan Royals won by 6 Wickets,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,6 Wickets,Won
45,2008-05-21,Punjab Kings v Mumbai Indians,Mumbai,Punjab Kings won by 1 Run,Punjab Kings,Mumbai Indians,Punjab Kings,1 Run,Won
46,2008-05-21,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Royal Challengers Bangalore won by 14 Runs,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,14 Runs,Lost
47,2008-05-23,Punjab Kings v Deccan Chargers,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,6 Wickets,Won
48,2008-05-24,Chennai Super Kings v Rajasthan Royals,Chennai,Rajasthan Royals won by 10 Runs,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,10 Runs,Lost
49,2008-05-24,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 5 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,5 Wickets,Won
50,2008-05-25,Deccan Chargers v Royal Challengers Bangalore,Hyderabad,Royal Challengers Bangalore won by 5 Wickets,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
51,2008-05-25,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 3 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,3 Wickets,Won
52,2008-05-26,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,5 Wickets,Won
53,2008-05-27,Deccan Chargers v Chennai Super Kings,Hyderabad,Chennai Super Kings won by 7 Wickets,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,7 Wickets,Won
54,2008-05-28,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 9 Wickets,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,9 Wickets,Won
55,2008-05-28,Punjab Kings v Rajasthan Royals,Mohali,Punjab Kings won by 41 Runs,Punjab Kings,Rajasthan Royals,Punjab Kings,41 Runs,Lost
56,2008-05-30,Delhi Capitals v Rajasthan Royals,Mumbai,Rajasthan Royals won by 105 Runs,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,105 Runs,Lost
57,2008-05-31,Punjab Kings v Chennai Super Kings,Mumbai,Chennai Super Kings won by 9 Wickets,Punjab Kings,Chennai Super Kings,Chennai Super Kings,9 Wickets,Won
58,2008-06-01,Chennai Super Kings v Rajasthan Royals,Mumbai,Rajasthan Royals won by 3 Wickets,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
59,2009-04-18,Chennai Super Kings v Mumbai Indians,Cape Town,Mumbai Indians won by 19 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,19 Runs,Lost
60,2009-04-18,Royal Challengers Bangalore v Rajasthan Royals,Cape Town,Royal Challengers Bangalore won by 75 Runs,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,75 Runs,Lost
61,2009-04-19,Delhi Capitals v Punjab Kings,Cape Town,Delhi Capitals won by 10 Wickets [D/L],Delhi Capitals,Punjab Kings,Delhi Capitals,10 Wickets [D/L],Won
62,2009-04-19,Deccan Chargers v Kolkata Knight Riders,Cape Town,Deccan Chargers won by 8 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,8 Wickets,Won
63,2009-04-20,Royal Challengers Bangalore v Chennai Super Kings,Port Elizabeth,Chennai Super Kings won by 92 Runs,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,92 Runs,Lost
64,2009-04-21,Punjab Kings v Kolkata Knight Riders,Durban,Kolkata Knight Riders won by 11 Runs [D/L],Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,11 Runs [D/L],Lost
65,2009-04-22,Royal Challengers Bangalore v Deccan Chargers,Cape Town,Deccan Chargers won by 24 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,24 Runs,Lost
66,2009-04-23,Kolkata Knight Riders v Rajasthan Royals,Cape Town,Rajasthan Royals won by tie,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,tie,Tie
67,2009-04-23,Chennai Super Kings v Delhi Capitals,Durban,Delhi Capitals won by 9 Runs,Chennai Super Kings,Delhi Capitals,Delhi Capitals,9 Runs,Lost
68,2009-04-24,Royal Challengers Bangalore v Punjab Kings,Durban,Punjab Kings won by 7 Wickets,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,7 Wickets,Won
69,2009-04-25,Deccan Chargers v Mumbai Indians,Durban,Deccan Chargers won by 12 Runs,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,12 Runs,Lost
70,2009-04-26,Royal Challengers Bangalore v Delhi Capitals,Port Elizabeth,Delhi Capitals won by 6 Wickets,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,6 Wickets,Won
71,2009-04-26,Punjab Kings v Rajasthan Royals,Cape Town,Punjab Kings won by 27 Runs,Punjab Kings,Rajasthan Royals,Punjab Kings,27 Runs,Lost
72,2009-04-27,Chennai Super Kings v Deccan Chargers,Durban,Deccan Chargers won by 6 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Wickets,Won
73,2009-04-27,Kolkata Knight Riders v Mumbai Indians,Port Elizabeth,Mumbai Indians won by 92 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,92 Runs,Lost
74,2009-04-28,Delhi Capitals v Rajasthan Royals,Centurion,Rajasthan Royals won by 5 Wickets,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,5 Wickets,Won
75,2009-04-29,Royal Challengers Bangalore v Kolkata Knight Riders,Durban,Royal Challengers Bangalore won by 5 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,5 Wickets,Won
76,2009-04-29,Punjab Kings v Mumbai Indians,Durban,Punjab Kings won by 3 Runs,Punjab Kings,Mumbai Indians,Punjab Kings,3 Runs,Lost
77,2009-04-30,Deccan Chargers v Delhi Capitals,Centurion,Delhi Capitals won by 6 Wickets,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,6 Wickets,Won
78,2009-04-30,Chennai Super Kings v Rajasthan Royals,East London,Chennai Super Kings won by 38 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,38 Runs,Lost
79,2009-05-01,Kolkata Knight Riders v Mumbai Indians,East London,Mumbai Indians won by 9 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,9 Runs,Lost
80,2009-05-01,Royal Challengers Bangalore v Punjab Kings,Durban,Royal Challengers Bangalore won by 8 Runs,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,8 Runs,Lost
81,2009-05-02,Deccan Chargers v Rajasthan Royals,Port Elizabeth,Rajasthan Royals won by 3 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
82,2009-05-02,Chennai Super Kings v Delhi Capitals,Johannesburg,Chennai Super Kings won by 18 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,18 Runs,Lost
83,2009-05-03,Punjab Kings v Kolkata Knight Riders,Port Elizabeth,Punjab Kings won by 6 Wickets,Punjab Kings,Kolkata Knight Riders,Punjab Kings,6 Wickets,Won
84,2009-05-03,Royal Challengers Bangalore v Mumbai Indians,Johannesburg,Royal Challengers Bangalore won by 9 Wickets,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,9 Wickets,Won
85,2009-05-04,Chennai Super Kings v Deccan Chargers,East London,Chennai Super Kings won by 78 Runs,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,78 Runs,Lost
86,2009-05-05,Punjab Kings v Rajasthan Royals,Durban,Rajasthan Royals won by 78 Runs,Punjab Kings,Rajasthan Royals,Rajasthan Royals,78 Runs,Lost
87,2009-05-05,Delhi Capitals v Kolkata Knight Riders,Durban,Delhi Capitals won by 9 Wickets,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,9 Wickets,Won
88,2009-05-06,Deccan Chargers v Mumbai Indians,Centurion,Deccan Chargers won by 19 Runs,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,19 Runs,Lost
89,2009-05-07,Royal Challengers Bangalore v Rajasthan Royals,Centurion,Rajasthan Royals won by 7 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
90,2009-05-07,Chennai Super Kings v Punjab Kings,Centurion,Chennai Super Kings won by 12 Runs [D/L],Chennai Super Kings,Punjab Kings,Chennai Super Kings,12 Runs [D/L],Lost
91,2009-05-08,Delhi Capitals v Mumbai Indians,East London,Delhi Capitals won by 7 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,7 Wickets,Won
92,2009-05-09,Deccan Chargers v Punjab Kings,Kimberley,Punjab Kings won by 3 Wickets,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,3 Wickets,Won
93,2009-05-09,Chennai Super Kings v Rajasthan Royals,Kimberley,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7 Wickets,Won
94,2009-05-10,Royal Challengers Bangalore v Mumbai Indians,Port Elizabeth,Mumbai Indians won by 16 Runs,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,16 Runs,Lost
95,2009-05-10,Delhi Capitals v Kolkata Knight Riders,Johannesburg,Delhi Capitals won by 7 Wickets,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,7 Wickets,Won
96,2009-05-11,Deccan Chargers v Rajasthan Royals,Kimberley,Deccan Chargers won by 53 Runs,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,53 Runs,Lost
97,2009-05-12,Royal Challengers Bangalore v Kolkata Knight Riders,Centurion,Royal Challengers Bangalore won by 6 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,6 Wickets,Won
98,2009-05-12,Punjab Kings v Mumbai Indians,Centurion,Mumbai Indians won by 8 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,8 Wickets,Won
99,2009-05-13,Deccan Chargers v Delhi Capitals,Durban,Delhi Capitals won by 12 Runs,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,12 Runs,Lost
100,2009-05-14,Royal Challengers Bangalore v Chennai Super Kings,Durban,Royal Challengers Bangalore won by 2 Wickets,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2 Wickets,Won
101,2009-05-14,Mumbai Indians v Rajasthan Royals,Durban,Rajasthan Royals won by 2 Runs,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2 Runs,Lost
102,2009-05-15,Delhi Capitals v Punjab Kings,Bloemfontein,Punjab Kings won by 6 Wickets,Delhi Capitals,Punjab Kings,Punjab Kings,6 Wickets,Won
103,2009-05-16,Chennai Super Kings v Mumbai Indians,Port Elizabeth,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,7 Wickets,Won
104,2009-05-16,Deccan Chargers v Kolkata Knight Riders,Johannesburg,Deccan Chargers won by 6 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,6 Wickets,Won
105,2009-05-17,Deccan Chargers v Punjab Kings,Johannesburg,Punjab Kings won by 1 Run,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,1 Run,Won
106,2009-05-17,Delhi Capitals v Rajasthan Royals,Bloemfontein,Delhi Capitals won by 14 Runs,Delhi Capitals,Rajasthan Royals,Delhi Capitals,14 Runs,Lost
107,2009-05-18,Chennai Super Kings v Kolkata Knight Riders,Centurion,Kolkata Knight Riders won by 7 Wickets,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
108,2009-05-19,Royal Challengers Bangalore v Delhi Capitals,Johannesburg,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,7 Wickets,Won
109,2009-05-20,Kolkata Knight Riders v Rajasthan Royals,Durban,Kolkata Knight Riders won by 4 Wickets,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4 Wickets,Won
110,2009-05-20,Chennai Super Kings v Punjab Kings,Durban,Chennai Super Kings won by 24 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,24 Runs,Lost
111,2009-05-21,Delhi Capitals v Mumbai Indians,Centurion,Delhi Capitals won by 4 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,4 Wickets,Won
112,2009-05-21,Royal Challengers Bangalore v Deccan Chargers,Centurion,Royal Challengers Bangalore won by 12 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,12 Runs,Lost
113,2009-05-22,Delhi Capitals v Deccan Chargers,Centurion,Deccan Chargers won by 6 Wickets,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Wickets,Won
114,2009-05-23,Royal Challengers Bangalore v Chennai Super Kings,Johannesburg,Royal Challengers Bangalore won by 6 Wickets,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,6 Wickets,Won
115,2009-05-24,Royal Challengers Bangalore v Deccan Chargers,Johannesburg,Deccan Chargers won by 6 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Runs,Lost
116,2010-03-12,Deccan Chargers v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 11 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,11 Runs,Lost
117,2010-03-13,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 4 Runs,Mumbai Indians,Rajasthan Royals,Mumbai Indians,4 Runs,Lost
118,2010-03-13,Punjab Kings v Delhi Capitals,Mohali,Delhi Capitals won by 5 Wickets,Punjab Kings,Delhi Capitals,Delhi Capitals,5 Wickets,Won
119,2010-03-14,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,7 Wickets,Won
120,2010-03-14,Chennai Super Kings v Deccan Chargers,Chennai,Deccan Chargers won by 31 Runs,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,31 Runs,Lost
121,2010-03-15,Rajasthan Royals v Delhi Capitals,Cuttack,Delhi Capitals won by 6 Wickets,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6 Wickets,Won
122,2010-03-16,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Royal Challengers Bangalore won by 8 Wickets,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,8 Wickets,Won
123,2010-03-16,Chennai Super Kings v Kolkata Knight Riders,Kolkata,Chennai Super Kings won by 55 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,55 Runs,Lost
124,2010-03-17,Delhi Capitals v Mumbai Indians,Delhi,Mumbai Indians won by 98 Runs,Delhi Capitals,Mumbai Indians,Mumbai Indians,98 Runs,Lost
125,2010-03-18,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Royal Challengers Bangalore won by 10 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,10 Wickets,Won
126,2010-03-19,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 5 Wickets,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,5 Wickets,Won
127,2010-03-19,Deccan Chargers v Punjab Kings,Cuttack,Deccan Chargers won by 6 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,6 Runs,Lost
128,2010-03-20,Rajasthan Royals v Kolkata Knight Riders,Ahmedabad,Rajasthan Royals won by 34 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,34 Runs,Lost
129,2010-03-20,Mumbai Indians v Royal Challengers Bangalore,Cuttack,Royal Challengers Bangalore won by 7 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7 Wickets,Won
130,2010-03-21,Deccan Chargers v Delhi Capitals,Cuttack,Deccan Chargers won by 10 Runs,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,10 Runs,Lost
131,2010-03-21,Chennai Super Kings v Punjab Kings,Chennai,Punjab Kings won by tie,Chennai Super Kings,Punjab Kings,Punjab Kings,tie,Tie
132,2010-03-22,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 7 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,7 Wickets,Won
133,2010-03-23,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Royal Challengers Bangalore won by 36 Runs,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,36 Runs,Lost
134,2010-03-24,Punjab Kings v Rajasthan Royals,Mohali,Rajasthan Royals won by 31 Runs,Punjab Kings,Rajasthan Royals,Rajasthan Royals,31 Runs,Lost
135,2010-03-25,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Delhi Capitals won by 17 Runs,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,17 Runs,Lost
136,2010-03-25,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Chennai Super Kings,Mumbai Indians,5 Wickets,Won
137,2010-03-26,Rajasthan Royals v Deccan Chargers,Ahmedabad,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,8 Wickets,Won
138,2010-03-27,Punjab Kings v Kolkata Knight Riders,Mohali,Kolkata Knight Riders won by 39 Runs,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,39 Runs,Lost
139,2010-03-28,Rajasthan Royals v Chennai Super Kings,Ahmedabad,Rajasthan Royals won by 17 Runs,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,17 Runs,Lost
140,2010-03-28,Deccan Chargers v Mumbai Indians,Mumbai,Mumbai Indians won by 41 Runs,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,41 Runs,Lost
141,2010-03-29,Delhi Capitals v Kolkata Knight Riders,Delhi,Delhi Capitals won by 40 Runs,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,40 Runs,Lost
142,2010-03-30,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 4 Wickets,Mumbai Indians,Punjab Kings,Mumbai Indians,4 Wickets,Won
143,2010-03-31,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,5 Wickets,Won
144,2010-03-31,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 67 Runs,Delhi Capitals,Rajasthan Royals,Delhi Capitals,67 Runs,Lost
145,2010-04-01,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 24 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,24 Runs,Lost
146,2010-04-02,Punjab Kings v Royal Challengers Bangalore,Cuttack,Royal Challengers Bangalore won by 6 Wickets,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,6 Wickets,Won
147,2010-04-03,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 23 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,23 Runs,Lost
